dbn,neighborhood,total_students,hs_enroll,non_hs,grades2018,PK,Grade_K,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Borough,finalgrades,program1,program2,program3,program4,program5,program6,program7,program8,program9,program10,language_classes,advancedplacement_courses,diplomaendorsements,graduation_rate,attendance_rate,pct_stu_enough_variety,college_career_rate,specialized,admissionspriority11,admissionspriority21,Year,n_Female,pct_Female,n_Male,pct_Male,n_Asian,pct_Asian,n_Black,pct_Black,n_Hispanic,pct_Hispanic,n_Multiple_Race_Categories_Not_Represented,pct_Multiple_Race_Categories_Not_Represented,n_White,pct_White,n_Students_with_Disabilities,pct_Students_with_Disabilities,n_English_Language_Learners,pct_English_Language_Learners,n_Poverty,pct_Poverty,Economic_Need_Index,graduation_quartile
08X312,Castle Hill-Clason Point,432,406,0,9 to 12,0,0,0,0,0,0,0,0,0,0,102,102,101,101,BRONX,9 to 12,Millennium Art Academy,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,"AP Chemistry, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Spanish, AP Studio Art: 2-D Design",Arts,0.77,0.9,0.87,0.47,NA,Priority to Bronx students or residents,Then to New York City residents,2019-20,238,0.586,168,0.414,6,0.015,105,0.259,278,0.685,6,0.015,11,0.027,98,0.241,19,0.047,318,78.3%,84.6%,2
02M533,Gramercy,398,404,0,9 to 12,0,0,0,0,0,0,0,0,0,0,139,111,88,66,MANHATTAN,9 to 12,Pharmacy Technician,Dental Laboratory Technician,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,"AP Biology, AP English Language and Composition, AP English Literature and Composition, AP European History, AP U.S. History, AP World History",CTE,0.86,0.87,0.71,0.78,NA,Priority to Manhattan students or residents,Then to New York City residents,2019-20,277,0.686,127,0.314,44,0.109,69,0.171,266,0.658,3,0.007,22,0.054,70,0.173,25,0.062,352,87.1%,85.2%,3
24Q585,Maspeth,1196,1232,0,9 to 12,0,0,0,0,0,0,0,0,0,0,290,278,408,256,QUEENS,9 to 12,Maspeth High School,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin, Mandarin","AP Biology, AP Calculus AB, AP Chemistry, AP Comparative Government and Politics, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Music Theory, AP Physics, AP Psychology, AP Studio Art: Drawing, AP U.S. Government and Politics, AP U.S. History, AP World History",Arts,0.95,0.89,0.89,0.82,NA,Priority to District 24 students or residents,Then to Queens students or residents,2019-20,621,0.504,611,0.496,216,0.175,17,0.014,588,0.477,94,0.076,317,0.257,192,0.156,39,0.032,700,56.8%,57.3%,4
04M555,East Harlem South,496,512,0,9 to 12,0,0,0,0,0,0,0,0,0,0,143,134,126,109,MANHATTAN,9 to 12,Central Park East,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,"AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Statistics, AP U.S. History",Science,0.94,0.92,0.87,0.85,NA,Open to New York City residents,NA,2019-20,330,0.645,182,0.355,103,0.201,127,0.248,244,0.477,9,0.018,29,0.057,80,0.156,9,0.018,404,78.9%,74.2%,4
09X241,Claremont-Bathgate,616,341,258,6 to 12,0,0,0,0,0,0,0,86,86,86,90,81,82,88,BRONX,6 to 12,Urban Assembly School for Applied Math and Science for New Students,Urban Assembly School for Applied Math and Science for Current Students,NA,NA,NA,NA,NA,NA,NA,NA,"French, Spanish",AP Calculus AB,NA,0.88,0.88,0.74,0.78,NA,Priority to Bronx students or residents,Then to New York City residents,2019-20,289,0.482,310,0.518,3,0.005,166,0.277,422,0.705,6,0.01,2,0.003,174,0.29,71,0.119,554,92.5%,92.3%,3
31R440,New Dorp,3045,3106,0,9 to 12,0,0,0,0,0,0,0,0,0,0,909,787,924,486,STATEN IS,9 to 12,Future Teachers' Academy,Law Institute & AFJROTC,Corporate Center for Business & Technology,Institute of Health Sciences,Academy of Communication and Media Arts,Academy of Fine and Dramatic Arts,Math & Science Institute,Institute of Forensic Science & Criminology,Zoned,NA,"Italian, Spanish","AP Biology, AP Calculus AB, AP Computer Science, AP Psychology, AP Statistics, AP U.S. History, AP World History","CTE, Math, Science",0.78,0.85,0.85,0.55,NA,Priority to Staten Island students or residents,Then to New York City residents,2019-20,1507,0.485,1599,0.515,336,0.108,277,0.089,844,0.272,66,0.021,1583,0.51,721,0.232,148,0.048,1901,61.2%,55.7%,2
12X550,West Farms-Bronx River,448,421,0,9 to 12,0,0,0,0,0,0,0,0,0,0,84,174,85,78,BRONX,9 to 12,High School of World Cultures,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arabic, French, Spanish","AP Environmental Science, AP Spanish",NA,0.42,0.85,0.82,0.22,NA,NA,NA,2019-20,184,0.437,237,0.563,26,0.062,43,0.102,333,0.791,5,0.012,14,0.033,15,0.036,340,0.808,Above 95%,Above 95%,Above 95%,1
25Q285,Auburndale,567,339,267,6 to 12,0,0,0,0,0,0,0,99,85,83,92,86,86,75,QUEENS,6 to 12,World Journalism Preparatory for New Students,World Journalism Preparatory for Current Students,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,"AP Computer Science, AP English Language and Composition, AP Environmental Science, AP Macroeconomics, AP U.S. History, AP World History","Math, Science",0.91,0.87,0.36,0.8,NA,Open to New York City residents,NA,2019-20,348,0.574,258,0.426,104,0.172,24,0.04,232,0.383,21,0.035,225,0.371,119,0.196,11,0.018,350,57.8%,45.8%,3
25Q425,Kew Gardens Hills,3601,3432,0,9 to 12,0,0,0,0,0,0,0,0,0,0,1112,828,865,627,QUEENS,9 to 12,Academy for Creative Artists,Introduction to Agriculture,John Bowne Law Institute,Science Technology Engineering and Math (S.T.E.M.) Research Program,Zoned,NA,NA,NA,NA,NA,"Italian, Latin, Mandarin, Spanish","AP Biology, AP Calculus AB, AP Calculus BC, AP Chemistry, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Macroeconomics, AP Seminar, AP Spanish, AP Statistics, AP U.S. Government and Politics, AP U.S. History, AP World History","CTE, Math, Science",0.77,0.9,0.87,0.58,NA,Open to New York City residents,NA,2019-20,1717,0.5,1715,0.5,997,0.291,666,0.194,1485,0.433,104,0.03,180,0.052,522,0.152,619,0.18,2548,74.2%,76.6%,2
28Q505,Briarwood-Jamaica Hills,3367,3091,0,9 to 12,0,0,0,0,0,0,0,0,0,0,915,833,682,661,QUEENS,9 to 12,Health Sciences Institute,Teachers of Tomorrow,"The Academy of Media, Arts and Music",Pre-Med Program,Theater Arts,Academy of Public Service and Law,Biz-Tek,Zoned,NA,NA,"French, Spanish","AP Biology, AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP French, AP Spanish, AP U.S. History, AP World History","Arts, CTE, Math, Science",0.8,0.95,1.05,0.64,NA,Open to New York City residents,NA,2019-20,1543,0.499,1548,0.501,985,0.319,797,0.258,1063,0.344,155,0.05,91,0.029,361,0.117,532,0.172,2546,82.4%,76.0%,2
